Rank,City,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
2,"Honolulu, HI, United States",104.3,65.23,85.98,116.04,94.44,88.8
3,"New York, NY, United States",100,100,100,100,100,100
4,"Santa Barbara, CA, United States",95.07,78.38,87.24,99.39,99.58,93.85
5,"Berkeley, CA, United States",94.48,88.18,91.53,106.22,78.99,85.74
6,"San Francisco, CA, United States",93.97,108.38,100.72,96.91,93.56,133.93
7,"Oakland, CA, United States",93.4,87.75,90.75,98.88,78.89,111.45
8,"Anchorage, AK, United States",91.29,39.27,66.89,97.81,78.89,118.61
9,"Santa Clara, CA, United States",90.55,90.35,90.46,100.49,78.79,154.41
10,"Seattle, WA, United States",88.23,65.43,77.54,86.61,93.25,147.49
11,"Boston, MA, United States",85.49,77.97,81.96,85.28,90.96,116.7
12,"Queens, NY, United States",84.41,68.19,76.8,79.64,83.3,106.2
13,"Washington, DC, United States",83.77,73.44,78.93,83.74,82.5,121.83
14,"Pittsburgh, PA, United States",82.4,39.12,62.1,89.25,68.47,114.93
15,"Jersey City, NJ, United States",80.84,62.97,72.46,81.56,73.4,147.73
16,"Philadelphia, PA, United States",80.73,50.12,66.38,83.86,71.48,115.08
18,"Los Angeles, CA, United States",79.37,74.71,77.19,76.26,91.83,123.83
19,"Minneapolis, MN, United States",79.13,47.03,64.07,78.96,78.7,114.67
20,"Birmingham, AL, United States",78.87,28.18,55.09,84.18,75.61,86.35
21,"Sacramento, CA, United States",77.92,50.53,65.08,80.73,70.35,101.42
22,"Miami, FL, United States",77.69,64.86,71.67,76.05,78.44,93.99
23,"Charleston, SC, United States",77.4,48.59,63.88,77.22,78.81,121.15
24,"Asheville, NC, United States",77.3,45.34,62.31,85.47,71.24,94.15
25,"Fort Lauderdale, FL, United States",76.96,56.04,67.15,80.95,82.62,101.62
26,"Portland, OR, United States",76.84,52.89,65.6,75.27,74.73,106.67
27,"Atlanta, GA, United States",76.77,48.5,63.51,78.01,71.06,135.68
29,"Chicago, IL, United States",76.25,56.6,67.04,71.64,76.47,139.31
30,"Saint Paul, MN, United States",76.21,43.94,61.07,73.3,77.68,106.61
31,"Plano, TX, United States",75.99,48.34,63.02,77,61.55,105.4
32,"San Diego, CA, United States",75.65,68.39,72.24,73.88,78.65,123.75
34,"Tampa, FL, United States",75.5,45.92,61.62,79.92,72.6,96.24
36,"Omaha, NE, United States",75.35,30.2,54.17,72.45,80.39,108.65
37,"Denver, CO, United States",75.2,55.33,65.88,72.03,76.72,129.96
38,"Cleveland, OH, United States",74.9,35.28,56.32,76.26,76.98,125.96
40,"Buffalo, NY, United States",74.42,29.54,53.37,72.59,74.18,124.24
41,"San Jose, CA, United States",74.41,82.27,78.09,71.54,74.99,158.85
42,"Colorado Springs, CO, United States",74.3,41.49,58.91,74.3,72.89,137.62
43,"Fremont, CA, United States",74.17,74.9,74.51,75.3,71.12,157.33
45,"Salem, OR, United States",74.03,35.79,56.1,78.52,63.2,89.19
46,"Nashville, TN, United States",73.66,53.48,64.2,73.36,74.13,111.45
47,"Olympia, WA, United States",73.62,37.92,56.88,77.57,81.26,108.82
48,"New Orleans, LA, United States",73.6,43.43,59.45,69.4,76.84,92.87
50,"Baltimore, MD, United States",73.55,41.66,58.59,74.43,73.5,136.18
51,"Fort Collins, CO, United States",72.79,43.07,58.85,83.07,56.8,100.33
53,"Iowa City, IA, United States",72.59,31.67,53.4,78.13,62.58,85.02
54,"Syracuse, NY, United States",72.57,31.28,53.2,79.1,65.13,78.43
58,"Everett, WA, United States",71.64,45.14,59.21,70.3,82.01,102.49
59,"Milwaukee, WI, United States",71.61,39.78,56.69,73.5,69.11,109.11
61,"Rochester, NY, United States",71.53,29.12,51.64,71.72,69.25,100.19
62,"Albany, NY, United States",71.53,34.69,54.25,69.44,79.11,129.74
66,"Reno, NV, United States",70.71,46.93,59.56,71.56,71.21,96.9
67,"Eugene, OR, United States",70.37,37.7,55.05,78.14,70.36,87.62
68,"Ann Arbor, MI, United States",70.32,47.95,59.83,74.06,63.73,159.97
69,"Greensboro, NC, United States",70.31,37.63,54.98,72.11,70.34,92.72
70,"Charlotte, NC, United States",70.3,51.85,61.64,69.51,68.43,146.27
71,"Detroit, MI, United States",69.94,36.64,54.32,67.57,65.23,110.88
72,"Long Beach, CA, United States",69.91,57.11,63.91,73.63,74.51,110.01
74,"Columbus, OH, United States",69.75,36.85,54.32,67.81,69.06,151.47
76,"Fort Worth, TX, United States",69.72,40.39,55.96,68.42,66.43,113.4
78,"Jacksonville, FL, United States",69.55,35.36,53.51,74.48,70.54,144.29
79,"Durham, NC, United States",69.51,41.77,56.5,79.64,65.04,105.95
80,"Phoenix, AZ, United States",69.41,43.99,57.48,66.69,71.54,135.75
81,"Des Moines, IA, United States",69.38,30.02,50.92,72.3,66.05,108.34
82,"London, Canada",69.29,37.3,54.28,62.58,78.49,97.37
83,"North Vancouver, Canada",69.09,54.83,62.41,69.61,70.13,104.39
85,"Vancouver, WA, United States",68.81,43.45,56.92,65.03,69.94,125.84
87,"Fresno, CA, United States",68.6,34.01,52.37,64.63,71.12,116.88
88,"Boise, ID, United States",68.33,42.92,56.41,60.85,81.65,82.87
90,"Spokane, WA, United States",68.14,35.07,52.63,64.79,70.46,112.35
91,"Las Vegas, NV, United States",68.12,38.19,54.08,61.06,72.24,125.14
92,"Dayton, OH, United States",68.07,27.91,49.23,66,59.11,79.2
94,"Raleigh, NC, United States",67.93,41.46,55.52,70.26,69.38,144.31
95,"Dallas, TX, United States",67.89,50.15,59.57,63.52,71.86,170.65
96,"Richmond, VA, United States",67.79,37.5,53.58,64.98,77.63,130.92
99,"Orlando, FL, United States",67.37,44.88,56.82,65.35,69.98,126.44
100,"Madison, WI, United States",67.34,38.73,53.92,66.82,72.46,132.15
