Index,City,quatity score,business score,Cost of Living Index,Bucket
56,Charleston,0.28,1.62,83.9,1
155,Danville,0.02,0.26,83.9,1
54,Richmond,0.33,1.95,84.2,1
111,Huntington,0.07,0.44,84.3,1
121,Portsmouth,0.05,0.39,84.7,1
207,Joplin,0.01,0.17,85.2,1
206,Topeka,0.02,0.17,85.6,1
231,Flint,0.02,0.14,85.7,1
225,Shreveport,0.02,0.15,85.8,1
141,Roswell,0.05,0.3,86.3,1
248,Monroe,0.01,0.13,86.5,1
100,Tulsa,0.1,0.53,86.7,1
221,Peoria,0.01,0.15,86.7,1
95,Wichita,0.11,0.58,86.8,1
212,Fort Wayne,0.02,0.16,86.8,1
263,Gulfport,0.01,0.1,86.8,1
115,Midland,0.03,0.42,87,1
259,Bowling Green,0.01,0.12,87,1
137,South Bend,0.06,0.32,87.2,1
66,Oklahoma City,0.23,1.31,87.3,1
70,Albany,0.12,1.09,87.3,1
93,Morristown,0.1,0.61,87.3,1
110,Jackson,0.07,0.46,87.4,1
86,Springfield,0.09,0.67,87.5,1
208,Toledo,0.02,0.17,87.5,1
142,Michigan City,0.05,0.3,87.8,1
71,Little Rock,0.17,1.08,88,1
145,Cedar Rapids,0.05,0.29,88.1,1
78,Memphis,0.16,0.9,88.2,1
192,Canton,0.02,0.18,88.2,1
183,Mobile,0.03,0.19,88.3,1
97,Dayton,0.11,0.57,88.4,1
27,Columbus,0.76,3.8,88.5,1
200,Athens,0.02,0.17,88.5,1
249,Montgomery,0.01,0.13,88.5,1
214,El Paso,0.03,0.16,88.6,1
136,Lansing,0.05,0.33,88.7,1
215,Lubbock,0.02,0.16,88.8,1
222,Las Cruces,0.01,0.15,88.8,1
153,Champaign,0.04,0.27,89,1
196,Kalamazoo,0.01,0.17,89.3,1
133,Akron,0.05,0.35,89.4,1
47,Cleveland,0.51,3.18,89.5,1
85,Fayetteville,0.1,0.68,89.5,1
44,St. Louis,0.46,3.36,89.6,1
60,Lafayette,0.18,1.46,89.6,1
36,Columbia,0.23,3.8,89.8,1
84,Greenville,0.12,0.68,89.8,1
232,Janesville,0.01,0.14,89.8,1
42,Indianapolis,0.52,3.8,90.2,1
198,Appleton,0.02,0.17,90.7,1
228,Grand Forks,0.02,0.15,90.7,1
132,Greensboro,0.04,0.35,91,1
49,Lexington,0.18,2.52,91.1,1
143,Baton Rouge,0.04,0.29,91.1,1
254,Great Falls,0.01,0.12,91.1,1
63,Chattanooga,0.23,1.34,91.2,1
104,Winston-Salem,0.08,0.5,91.2,1
185,Scranton,0.02,0.19,91.3,1
223,Huntsville,0.02,0.15,91.3,1
173,Fargo,0.02,0.23,91.4,1
180,Green Bay,0.03,0.21,91.4,1
159,Ames,0.03,0.25,91.5,1
34,Kansas City,0.59,3.8,91.6,1
48,Louisville,0.27,2.7,91.6,1
81,Knoxville,0.11,0.76,91.6,1
217,Lawrence,0.01,0.16,91.6,1
242,Augusta,0.02,0.14,91.6,1
77,Des Moines,0.17,0.9,91.7,1
202,Idaho Falls,0.02,0.17,91.7,1
41,Burlington,0.26,3.8,91.8,1
181,Erie,0.03,0.21,91.8,1
154,College Station,0.04,0.26,92.3,1
31,Cincinnati,0.5,3.8,92.4,1
40,New Orleans,0.35,3.8,92.4,1
80,Bloomington,0.07,0.77,92.4,1
39,San Antonio,0.48,3.8,92.7,1
135,Sioux Falls,0.04,0.33,92.8,1
176,Tyler,0.03,0.22,92.8,1
43,Albuquerque,0.2,3.58,92.9,1
53,Omaha,0.22,2.04,92.9,1
25,Pittsburgh,0.88,3.8,93.1,1
17,Detroit,1.19,3.8,93.2,1
151,Duluth,0.04,0.27,93.2,1
190,Corpus Christi,0.01,0.19,93.3,1
245,Binghamton,0.01,0.14,93.3,1
119,Iowa City,0.05,0.4,93.5,1
262,Lynchburg,0.01,0.1,93.6,1
69,Grand Rapids,0.21,1.15,93.7,1
250,Auburn,0.01,0.13,93.7,1
50,Milwaukee,0.4,2.37,93.8,1
240,Roanoke,0.01,0.14,94.1,1
188,Brunswick,0.02,0.19,94.4,1
162,Blacksburg,0.03,0.25,94.5,1
204,Ocala,0.02,0.17,94.5,1
79,Lincoln,0.11,0.81,94.7,1
179,Myrtle Beach,0.02,0.21,94.7,1
87,Syracuse,0.14,0.67,95.1,1
156,Lebanon,0.01,0.26,95.4,1
117,Harrisonburg,0.02,0.41,95.5,1
230,Billings,0.02,0.15,95.7,1
18,Houston,1.34,3.8,95.8,1
127,Harrisburg,0.06,0.36,95.8,1
213,Reading,0.03,0.16,96,1
163,Lakeland,0.02,0.24,96.4,1
175,Tallahassee,0.03,0.22,96.4,1
124,Cheyenne,0.04,0.38,96.9,1
258,Winchester,0.01,0.12,97.2,1
45,Buffalo,0.2,3.28,97.3,1
65,Rochester,0.16,1.31,97.3,1
103,Savannah,0.1,0.5,97.3,1
105,Gainesville,0.07,0.5,97.3,1
68,Tucson,0.19,1.17,97.7,1
194,Whitewater,0.03,0.18,97.7,1
21,Charlotte,0.82,3.8,97.9,1
149,Pensacola,0.04,0.28,97.9,1
252,Bangor,0.02,0.13,98,1
167,Grand Junction,0.02,0.23,98.1,1
9,Dallas,2.9,3.8,98.5,1
187,Allentown,0.02,0.19,98.9,1
33,Wilmington,0.31,3.8,99,1
51,Jacksonville,0.3,2.3,99,1
75,Virginia Beach,0.2,0.98,99,1
32,Madison,0.69,3.8,99.5,1
134,Lancaster,0.03,0.33,99.5,1
131,Traverse City,0.06,0.35,99.6,1
14,Raleigh,1.09,3.58,99.7,1
150,State College,0.04,0.28,99.8,1
5,Chicago,4.37,3.8,100.1,2
24,Nashville,0.76,3.8,100.1,2
10,Atlanta,2.59,3.8,100.3,2
90,Spokane,0.1,0.64,100.4,2
23,Las Vegas,1.01,3.8,100.7,2
28,Provo,0.42,3.8,100.9,2
82,Dover,0.08,0.76,101.3,2
29,Tampa,0.83,3.8,101.4,2
37,Orlando,0.84,3.8,101.4,2
74,Fort Myers,0.17,0.98,101.5,2
102,Ithaca,0.08,0.5,101.7,2
189,Panama City,0.02,0.19,101.9,2
236,Atlantic City,0.01,0.14,102,2
99,Charlottesville,0.04,0.54,102.1,2
62,Colorado Springs,0.21,1.39,102.2,2
94,Bakersfield,0.02,0.61,102.9,2
140,Carson City,0.02,0.31,103,2
91,Asheville,0.12,0.64,103.3,2
13,Philadelphia,1.7,3.8,103.4,2
114,Missoula,0.05,0.43,103.4,2
16,Phoenix,1.58,3.8,104.3,2
72,Sarasota,0.19,1.06,104.4,2
58,Hartford,0.22,1.55,104.8,2
108,Santa Fe,0.06,0.46,105.1,2
15,Minneapolis,1.12,3.8,105.4,2
20,Salt Lake City,0.77,3.19,105.9,2
67,Fresno,0.06,1.28,105.9,2
6,Austin,3.2,3.8,106.6,2
35,Baltimore,0.92,3.8,107,2
76,Reno,0.18,0.95,107.4,2
107,Medford,0.02,0.47,107.5,2
52,New Haven,0.16,2.1,107.7,2
129,Concord,0.04,0.35,108.3,2
126,Eugene,0.04,0.37,108.4,2
193,Redding,0.02,0.18,108.7,2
61,Fort Collins,0.17,1.43,109.2,2
112,Manchester,0.05,0.44,109.6,2
255,Shelton,0.01,0.12,109.6,2
12,Miami,3.21,3.8,110.1,2
191,Chico,0.03,0.19,110.5,2
89,Corvallis,0.09,0.65,110.6,2
92,Anchorage,0.08,0.63,110.7,2
64,Providence,0.21,1.34,111.5,2
241,Bellingham,0.02,0.14,111.6,2
11,Denver,2.36,3.8,112.1,2
216,Modesto,0.02,0.16,112.3,2
19,Portland,1.38,3.8,113,2
83,Worcester,0.06,0.72,113.2,2
209,Stockton,0.02,0.17,113.6,2
46,Bend,0.1,3.21,115.9,2
22,Boulder,1.32,3.8,118.7,2
7,Washington,3.47,3.8,120.1,3
30,Sacramento,0.5,3.8,120.3,3
4,Seattle,3.49,3.8,124.6,3
147,Bozeman,0.04,0.28,125.3,3
1,New York,11.43,3.8,128,3
3,Boston,5.5,3.8,132.6,3
