,City,quatity score,business score,Cost of Living Index
0,San Francisco,29.14,3.8,178.6
1,New York,11.43,3.8,128.0
2,Los Angeles,11.23,3.8,140.6
3,Boston,5.5,3.8,132.6
4,Seattle,3.49,3.8,124.6
5,Chicago,4.37,3.8,100.1
6,Austin,3.2,3.8,106.6
7,Washington,3.47,3.8,120.1
8,San Diego,2.64,3.8,136.2
9,Dallas,2.9,3.8,98.5
10,Atlanta,2.59,3.8,100.3
11,Denver,2.36,3.8,112.1
12,Miami,3.21,3.8,110.1
13,Philadelphia,1.7,3.8,103.4
14,Raleigh,1.09,3.58,99.7
15,Minneapolis,1.12,3.8,105.4
16,Phoenix,1.58,3.8,104.3
17,Detroit,1.19,3.8,93.2
18,Houston,1.34,3.8,95.8
19,Portland,1.38,3.8,113.0
21,Salt Lake City,0.77,3.19,105.9
22,Charlotte,0.82,3.8,97.9
23,Boulder,1.32,3.8,118.7
24,Las Vegas,1.01,3.8,100.7
25,Nashville,0.76,3.8,100.1
26,Pittsburgh,0.88,3.8,93.1
28,Columbus,0.76,3.8,88.5
30,Provo,0.42,3.8,100.9
31,Tampa,0.83,3.8,101.4
32,Sacramento,0.5,3.8,120.3
33,Cincinnati,0.5,3.8,92.4
34,Madison,0.69,3.8,99.5
35,Wilmington,0.31,3.8,99.0
36,Kansas City,0.59,3.8,91.6
37,Baltimore,0.92,3.8,107.0
38,Columbia,0.23,3.8,89.8
40,Orlando,0.84,3.8,101.4
41,Santa Cruz,0.23,3.8,163.9
42,San Antonio,0.48,3.8,92.7
43,New Orleans,0.35,3.8,92.4
44,Burlington,0.26,3.8,91.8
46,Indianapolis,0.52,3.8,90.2
47,Albuquerque,0.2,3.58,92.9
48,St. Louis,0.46,3.36,89.6
49,Buffalo,0.2,3.28,97.3
50,Bend,0.1,3.21,115.9
51,Cleveland,0.51,3.18,89.5
53,Louisville,0.27,2.7,91.6
54,Lexington,0.18,2.52,91.1
55,Milwaukee,0.4,2.37,93.8
56,Jacksonville,0.3,2.3,99.0
58,New Haven,0.16,2.1,107.7
59,Omaha,0.22,2.04,92.9
60,Richmond,0.33,1.95,84.2
62,Boise City,0.13,1.74,100.3
63,Charleston,0.28,1.62,83.9
66,Hartford,0.22,1.55,104.8
67,Birmingham,0.23,1.51,90.7
68,Lafayette,0.18,1.46,89.6
70,Fort Collins,0.17,1.43,109.2
71,Colorado Springs,0.21,1.39,102.2
72,Chattanooga,0.23,1.34,91.2
73,Providence,0.21,1.34,111.5
74,Rochester,0.16,1.31,97.3
76,Oklahoma City,0.23,1.31,87.3
77,Fresno,0.06,1.28,105.9
78,Tucson,0.19,1.17,97.7
79,Grand Rapids,0.21,1.15,93.7
80,Albany,0.12,1.09,87.3
82,Little Rock,0.17,1.08,88.0
83,Sarasota,0.19,1.06,104.4
84,Honolulu,0.22,0.99,158.0
85,Fort Myers,0.17,0.98,101.5
86,Virginia Beach,0.2,0.98,99.0
87,Reno,0.18,0.95,107.4
88,Des Moines,0.17,0.9,91.7
89,Memphis,0.16,0.9,88.2
90,Lincoln,0.11,0.81,94.7
91,Bloomington,0.07,0.77,92.4
93,Knoxville,0.11,0.76,91.6
94,Dover,0.08,0.76,101.3
95,Worcester,0.06,0.72,113.2
96,Greenville,0.12,0.68,89.8
98,Fayetteville,0.1,0.68,89.5
100,Springfield,0.09,0.67,87.5
102,Syracuse,0.14,0.67,95.1
104,Corvallis,0.09,0.65,110.6
105,Spokane,0.1,0.64,100.4
106,Asheville,0.12,0.64,103.3
107,Anchorage,0.08,0.63,110.7
108,Morristown,0.1,0.61,87.3
109,Bakersfield,0.02,0.61,102.9
110,Wichita,0.11,0.58,86.8
