,City,State,quantity score,business score,Cost of Living Index,Bucket
0,Charleston,South Carolina,0.28,1.62,83.9,1
1,Danville,Illinois,0.02,0.26,83.9,1
2,Richmond,Kentucky,0.33,1.95,84.2,1
3,Huntington,New York,0.07,0.44,84.3,1
4,Portsmouth,New Hampshire,0.05,0.39,84.7,1
5,Joplin,Missouri,0.01,0.17,85.2,1
6,Topeka,Kansas,0.02,0.17,85.6,1
7,Flint,Michigan,0.02,0.14,85.7,1
8,Shreveport,Louisiana,0.02,0.15,85.8,1
9,Roswell,Georgia,0.05,0.3,86.3,1
10,Monroe,Washington,0.01,0.13,86.5,1
11,Tulsa,Oklahoma,0.1,0.53,86.7,1
12,Peoria,Arizona,0.01,0.15,86.7,1
13,Wichita,Kansas,0.11,0.58,86.8,1
14,Fort Wayne,Indiana,0.02,0.16,86.8,1
15,Gulfport,Mississippi,0.01,0.1,86.8,1
16,Midland,Texas,0.03,0.42,87.0,1
17,Bowling Green,Ohio,0.01,0.12,87.0,1
18,South Bend,Indiana,0.06,0.32,87.2,1
19,Oklahoma City,Oklahoma,0.23,1.31,87.3,1
20,Albany,New York,0.12,1.09,87.3,1
21,Morristown,New Jersey,0.1,0.61,87.3,1
22,Jackson,Michigan,0.07,0.46,87.4,1
23,Springfield,Massachusetts,0.09,0.67,87.5,1
24,Toledo,Ohio,0.02,0.17,87.5,1
25,Michigan City,Indiana,0.05,0.3,87.8,1
26,Little Rock,Arkansas,0.17,1.08,88.0,1
27,Cedar Rapids,Iowa,0.05,0.29,88.1,1
28,Memphis,Tennessee,0.16,0.9,88.2,1
29,Canton,Georgia,0.02,0.18,88.2,1
30,Mobile,Alabama,0.03,0.19,88.3,1
31,Dayton,Ohio,0.11,0.57,88.4,1
32,Columbus,Georgia,0.76,3.8,88.5,1
33,Athens,Georgia,0.02,0.17,88.5,1
34,Montgomery,Alabama,0.01,0.13,88.5,1
35,El Paso,Texas,0.03,0.16,88.6,1
36,Lansing,Michigan,0.05,0.33,88.7,1
37,Lubbock,Texas,0.02,0.16,88.8,1
38,Las Cruces,New Mexico,0.01,0.15,88.8,1
39,Champaign,Illinois,0.04,0.27,89.0,1
40,Kalamazoo,Michigan,0.01,0.17,89.3,1
41,Akron,Ohio,0.05,0.35,89.4,1
42,Cleveland,Ohio,0.51,3.18,89.5,1
43,Fayetteville,Georgia,0.1,0.68,89.5,1
44,St. Louis,Missouri,0.46,3.36,89.6,1
45,Lafayette,Louisiana,0.18,1.46,89.6,1
46,Columbia,Maryland,0.23,3.8,89.8,1
47,Greenville,Texas,0.12,0.68,89.8,1
48,Janesville,Wisconsin,0.01,0.14,89.8,1
49,Indianapolis,Indiana,0.52,3.8,90.2,1
50,Appleton,Wisconsin,0.02,0.17,90.7,1
51,Grand Forks,North Dakota,0.02,0.15,90.7,1
52,Greensboro,North Carolina,0.04,0.35,91.0,1
53,Lexington,Kentucky,0.18,2.52,91.1,1
54,Baton Rouge,Louisiana,0.04,0.29,91.1,1
55,Great Falls,Montana,0.01,0.12,91.1,1
56,Chattanooga,Tennessee,0.23,1.34,91.2,1
57,Winston-Salem,North Carolina,0.08,0.5,91.2,1
58,Scranton,Pennsylvania,0.02,0.19,91.3,1
59,Huntsville,Alabama,0.02,0.15,91.3,1
60,Fargo,North Dakota,0.02,0.23,91.4,1
61,Green Bay,Wisconsin,0.03,0.21,91.4,1
62,Ames,Iowa,0.03,0.25,91.5,1
63,Kansas City,Kansas,0.59,3.8,91.6,1
64,Louisville,Colorado,0.27,2.7,91.6,1
65,Knoxville,Tennessee,0.11,0.76,91.6,1
66,Lawrence,Massachusetts,0.01,0.16,91.6,1
67,Augusta,Georgia,0.02,0.14,91.6,1
68,Des Moines,Iowa,0.17,0.9,91.7,1
69,Idaho Falls,Idaho,0.02,0.17,91.7,1
70,Burlington,Kentucky,0.26,3.8,91.8,1
71,Erie,Colorado,0.03,0.21,91.8,1
72,College Station,Texas,0.04,0.26,92.3,1
73,Cincinnati,Ohio,0.5,3.8,92.4,1
74,New Orleans,Louisiana,0.35,3.8,92.4,1
